time	I(C1)	I(C2)	I(L1)
8.423114412966143e+001	-6.559104e-002	9.010351e-002	1.404839e+000
8.465971555823285e+001	-6.520500e-002	8.914008e-002	1.405950e+000
8.508828698680425e+001	-6.350481e-002	8.687624e-002	1.405736e+000
8.551685841537565e+001	-6.049046e-002	8.331199e-002	1.404199e+000
8.594542984394705e+001	-5.616196e-002	7.844733e-002	1.401337e+000
8.620257270108989e+001	-5.305585e-002	7.502527e-002	1.399022e+000
8.645971555823275e+001	-4.967053e-002	7.132834e-002	1.396372e+000
8.671685841537558e+001	-4.600600e-002	6.735652e-002	1.393385e+000
8.697400127251842e+001	-4.206227e-002	6.310982e-002	1.390063e+000
8.723114412966126e+001	-3.783932e-002	5.858824e-002	1.386405e+000
8.748828698680411e+001	-3.333717e-002	5.379178e-002	1.382410e+000
8.774542984394695e+001	-2.855581e-002	4.872043e-002	1.378080e+000
8.790257270108980e+001	-2.557868e-002	4.556807e-002	1.375340e+000
8.805971555823265e+001	-2.256806e-002	4.238370e-002	1.372540e+000
8.821685841537550e+001	-1.952395e-002	3.916733e-002	1.369679e+000
8.837400127251834e+001	-1.644634e-002	3.591895e-002	1.366758e+000
8.853114412966119e+001	-1.333524e-002	3.263857e-002	1.363777e+000
8.868828698680404e+001	-1.019065e-002	2.932619e-002	1.360735e+000
8.884542984394689e+001	-7.012562e-003	2.598180e-002	1.357632e+000
8.914542984394687e+001	-9.756542e-004	1.963136e-002	1.351662e+000
8.924542984394687e+001	1.031426e-003	1.752093e-002	1.349654e+000
8.944542984394685e+001	5.025650e-003	1.332170e-002	1.345627e+000
8.974542984394684e+001	1.093751e-002	7.106591e-003	1.339581e+000
8.994542984394683e+001	1.480322e-002	3.041497e-003	1.335573e+000
9.004542984394682e+001	1.670778e-002	1.038078e-003	1.333581e+000
9.014542984394682e+001	1.859102e-002	-9.434837e-004	1.331599e+000
9.024542984394681e+001	2.045117e-002	-2.901400e-003	1.329631e+000
9.034542984394680e+001	2.228646e-002	-4.833915e-003	1.327677e+000
9.054542984394679e+001	2.587559e-002	-8.615890e-003	1.323820e+000
9.074542984394678e+001	2.934506e-002	-1.227608e-002	1.320044e+000
9.094542984394677e+001	3.268217e-002	-1.580179e-002	1.316362e+000
9.124542984394675e+001	3.741343e-002	-2.081206e-002	1.311046e+000
9.154542984394674e+001	4.178223e-002	-2.545526e-002	1.306017e+000
9.184542984394672e+001	4.575479e-002	-2.969768e-002	1.301314e+000
9.214542984394670e+001	4.930142e-002	-3.350971e-002	1.296975e+000
9.244542984394668e+001	5.239675e-002	-3.686606e-002	1.293032e+000
9.274542984394667e+001	5.501986e-002	-3.974587e-002	1.289513e+000
9.304542984394665e+001	5.715440e-002	-4.213287e-002	1.286443e+000
9.324542984394664e+001	5.830002e-002	-4.344447e-002	1.284656e+000
9.354542984394662e+001	5.959656e-002	-4.498655e-002	1.282376e+000
9.391685841537517e+001	6.042574e-002	-4.611382e-002	1.280269e+000
9.428828698680373e+001	6.053802e-002	-4.651838e-002	1.278906e+000
9.465971555823228e+001	5.993337e-002	-4.620024e-002	1.278288e+000
9.503114412966082e+001	5.861181e-002	-4.515940e-002	1.278415e+000
9.540257270108937e+001	5.657334e-002	-4.339585e-002	1.279287e+000
9.577400127251792e+001	5.381795e-002	-4.090960e-002	1.280903e+000
9.614542984394647e+001	5.034564e-002	-3.770064e-002	1.283265e+000
9.637400127251789e+001	4.794122e-002	-3.545571e-002	1.285039e+000
9.660257270108930e+001	4.538006e-002	-3.305209e-002	1.287008e+000
9.683114412966071e+001	4.266215e-002	-3.048977e-002	1.289169e+000
9.705971555823214e+001	3.978749e-002	-2.776876e-002	1.291524e+000
9.728828698680356e+001	3.675610e-002	-2.488906e-002	1.294073e+000
9.751685841537497e+001	3.356795e-002	-2.185066e-002	1.296814e+000
9.774542984394638e+001	3.022307e-002	-1.865356e-002	1.299750e+000
9.788828698680352e+001	2.809831e-002	-1.662025e-002	1.301643e+000
9.803114412966065e+001	2.595235e-002	-1.456503e-002	1.303574e+000
9.817400127251779e+001	2.378519e-002	-1.248789e-002	1.305544e+000
9.831685841537492e+001	2.159682e-002	-1.038883e-002	1.307553e+000
9.845971555823206e+001	1.938724e-002	-8.267866e-003	1.309600e+000
9.860257270108919e+001	1.715646e-002	-6.124983e-003	1.311686e+000
9.874542984394633e+001	1.490447e-002	-3.960186e-003	1.313810e+000
9.883114412966060e+001	1.355496e-002	-2.662662e-003	1.315092e+000
9.891685841537489e+001	1.220700e-002	-1.366451e-003	1.316378e+000
9.900257270108916e+001	1.086060e-002	-7.155313e-005	1.317670e+000
9.908828698680345e+001	9.515761e-003	1.222032e-003	1.318966e+000
9.917400127251773e+001	8.172476e-003	2.514305e-003	1.320267e+000
9.925971555823202e+001	6.830748e-003	3.805264e-003	1.321573e+000
9.934542984394629e+001	5.490576e-003	5.094911e-003	1.322884e+000
9.954542984394628e+001	2.389888e-003	8.078634e-003	1.325941e+000
9.964542984394628e+001	8.532964e-004	9.557228e-003	1.327469e+000
9.974542984394627e+001	-6.721753e-004	1.102502e-002	1.328994e+000
9.984542984394626e+001	-2.185087e-003	1.248058e-002	1.330515e+000
1.000454298439463e+002	-5.167574e-003	1.534930e-002	1.333538e+000
1.002454298439462e+002	-8.083073e-003	1.815230e-002	1.336527e+000
1.005454298439462e+002	-1.230743e-002	2.221022e-002	1.340922e+000
1.008454298439462e+002	-1.632279e-002	2.606191e-002	1.345176e+000
1.011454298439462e+002	-2.009730e-002	2.967544e-002	1.349254e+000
1.014454298439462e+002	-2.360175e-002	3.302158e-002	1.353123e+000
